Headline
"After minerals deal, US approves arms sales to Kyiv, plays down peace plan"
‘Don’t want war’: Kashmiri towns caught in deadly India-Pakistan crossfire
"Is Russia’s Putin playing Trump over Ukraine peace plan, or himself?"
How Israel’s ‘plan’ for Gaza could turbocharge ethnic cleansing
"Can the international community pull India, Pakistan from the brink of war?"
